frame_number,license_number,confidence_score
24,NA13NRU,0.7608874390036212
25,NA13NRU,0.8499136280806979
26,NA13NRU,0.5971563864868636
28,NA13NRU,0.6489321688307014
30,NA13NRU,0.8665954596577707
31,NA13NRU,0.6455025335752917
43,GX15OGJ,0.5773839607036515
69,GX15OGJ,0.7310431020824422
83,GX15OGJ,0.6685663600809605
92,GX15OGJ,0.7179770897370243
98,GX15OGJ,0.6927437149094027
114,GX15OGJ,0.6120426676522585
115,GX15OGJ,0.5663257894295544
116,GX15OGJ,0.7092054041114828
117,GX15OGJ,0.577300752675164
119,GX15OGJ,0.7369585914238767
128,GX15OGJ,0.5742798008273319
190,KH05ZZK,0.7202369203049808
192,AP05JEO,0.5553385342280283
206,KH05ZZK,0.577479652181799
208,KH05ZZK,0.6761482030572294
210,KH05ZZK,0.6095012210733315
