frame_number,license_number,confidence_score
0,,0.0
0,,0.0
1,,0.0
1,,0.0
2,NA13NRU,0.22866800987802638
2,,0.0
3,NA13NRU,0.3290027839245199
3,,0.0
4,,0.0
4,NA13NRU,0.18419156566250358
5,,0.0
5,NA13NRU,0.4465629152908619
6,,0.0
6,,0.0
7,,0.0
7,NA13NRU,0.35170338260226214
8,,0.0
8,NA13NRU,0.41438379794174807
9,,0.0
9,NA13NRU,0.1734857036892076
10,,0.0
10,,0.0
11,,0.0
11,NA13NRU,0.43945376596235836
12,,0.0
12,,0.0
13,,0.0
13,,0.0
14,LL51VSU,0.3204000114729992
14,,0.0
15,,0.0
15,,0.0
16,,0.0
16,NA13NRU,0.23567058417845607
17,,0.0
17,NA13NRU,0.4604147227444597
18,,0.0
18,,0.0
19,NA13NRU,0.4558758729438007
19,,0.0
20,,0.0
20,,0.0
21,,0.0
21,NA13NRU,0.25682660038579236
22,,0.0
22,NA13NRU,0.36741533726262904
23,,0.0
23,,0.0
24,,0.0
24,NA13NRU,0.7608874390036212
25,,0.0
25,NA13NRU,0.8499136280806979
26,,0.0
26,NA13NRU,0.5971563864868636
27,,0.0
27,,0.0
28,NA13NRU,0.6489321688307014
28,,0.0
29,NA13NQU,0.32593841012795094
29,,0.0
30,,0.0
30,NA13NRU,0.8665954596577707
31,NA13NRU,0.6455025335752917
31,,0.0
32,NA13NRU,0.4895996513648044
32,,0.0
33,NA13NRU,0.5101054339796122
33,,0.0
34,NA13NRU,0.28601856525540287
34,,0.0
35,KA13NRU,0.330903284497588
35,,0.0
36,,0.0
36,,0.0
37,,0.0
37,,0.0
38,,0.0
38,,0.0
39,,0.0
40,WV51LSU,0.14521454170936565
41,,0.0
42,,0.0
43,NU51USU,0.1879456594780263
43,GX15OGJ,0.5773839607036515
44,,0.0
44,,0.0
45,,0.0
45,,0.0
46,,0.0
47,,0.0
48,,0.0
49,,0.0
50,NI51VSU,0.19661540012310486
51,NI51VSU,0.18436827688858753
51,GX15OGJ,0.43636645616236
52,NT51VSU,0.12917654959898914
53,NI51VSU,0.07868400672259408
54,,0.0
54,,0.0
55,,0.0
55,GX15OGJ,0.3160636372968297
56,,0.0
56,,0.0
